id,park_name,park_type,address_road,address_land,latitude,longitude,area,sports_facility,amusement_facility,convenience_facility,cultural_facility,other_facility,designated_date,management_agency,tel,data_date,agency_code,agency_name
46150-00151,소공원17,소공원,,전라남도 순천시 저전동128-2,34.95168551,127.4809682,236,,,,,,2005-12-05,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00150,소공원15,소공원,,전라남도 순천시 저전동 260-6(갈마골),34.9463227,127.4826429,851,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00149,소공원14,소공원,,전라남도 순천시 인제동 359-36(상인제),34.9441953,127.4812481,1112,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00148,소공원13,소공원,,전라남도 순천시 남정동210(남정),34.9429227,127.4865159,214,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00147,소공원12,소공원,,전라남도 순천시 인제동 123-7(인제),34.9461767,127.4828767,797,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00146,소공원11,소공원,,전라남도 순천시 연향동 116-5(연향),34.9373408,127.5248775,671,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00145,소공원10,소공원,,전라남도 순천시 생목동15-5(생목),34.9522255,127.5099042,262,,,,,,2006-11-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00176,명말1공원,소공원,,전라남도 순천시 연향동1092-1,34.93895282,127.5140952,697,,,,,,2017-08-16,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00181,동천그린웨이,수변공원,,전라남도 순천시 매곡동 549-1,34.96287044,127.4886346,16765,,,,,,2017-11-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00180,강청수변공원,수변공원,,전라남도 순천시 서면 선평리 818,34.9872296,127.4993829,61478,축구장+ 인라인스케이트장+ 밸런스바이크장,그물놀이터+ 그네+ 집라인,화장실+ 음수대,기적의 놀이터 3호,분수시설,2017-11-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00179,83공원,어린이공원,,전라남도 순천시 해룡면 상삼리 930,34.94309795,127.5302007,4415,,조합놀이대,화장실+ 음수대,,,2016-12-31,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00175,소공원44,소공원,,전라남도 순천시 선평리 42-3,34.9823794,127.504105,8303,,,,,,2017-11-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00174,와온공원,소공원,,전라남도 순천시 해룡면 상내리 820,34.8500247,127.5239612,8135,,,화장실,,,2017-06-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00173,소공원45,소공원,,전라남도 순천시 동외동 67-15,34.9530599,127.4882871,687,,,,,,2017-06-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00172,소공원43,소공원,,전라남도 순천시 옥천동128-2,34.9524281,127.4787999,1869,,,,,,2017-06-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00171,도깨비공원,소공원,,전라남도 순천시 홍내동 661-15,34.9179615,127.4956527,2220,,,,,,2017-06-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00169,소공원36,소공원,,전라남도 순천시 덕월동 636-3,34.9274671,127.4865339,523,,,,,,2014-05-30,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00168,소공원37,소공원,,전라남도 순천시 연향동1281-1,34.9488721,127.5109705,147,,,,,,2014-05-29,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00167,소공원34,소공원,,전라남도 순천시 덕월동636-3,34.92747563,127.4865199,523,,,,,,2014-05-29,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00166,소공원33,소공원,,전라남도 순천시 덕암동404-5,34.948826,127.5081909,986,,,,,,2014-05-29,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00165,소공원32,소공원,,전라남도 순천시 해룡면 상삼리 산35-34,34.9434211,127.5340275,1548.8,,,,,,2013-05-03,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00164,소공원31,소공원,,전라남도 순천시 해룡면 호두리1158-1,34.8959585,127.5832937,3184,,,,,,2015-07-30,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00163,소공원30,소공원,,전라남도 순천시 해룡면 호두리1160-4,34.8965478,127.5864344,2889,,,,,,2015-07-30,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00162,소공원29,소공원,,전라남도 순천시 해룡면 호두리1177-3,34.8924771,127.5854189,1024,,,,,,2015-07-30,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00161,소공원28,소공원,,전라남도 순천시 해룡면 선월리 414-16,34.913124,127.5593073,274,,,,,,2012-12-21,전라남도 순천시청,061-749-6332,2024-11-19,4820000,전라남도 순천시
46150-00160,소공원27,소공원,,전라남도 순천시 해룡면 선월리 403-3,34.91305071,127.5578719,2145,,,,,,2012-12-21,전라남도 순천시청,061-749-6331,2024-11-19,4820000,전라남도 순천시
46150-00159,소공원25,소공원,,전라남도 순천시 해룡면 상삼리 산19-11,34.94940584,127.5348143,2693,,,,,,2010-11-05,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00158,소공원24,소공원,전라남도 순천시 장명3길 2-5(장천동),,34.95208929,127.487072,1672,,,,,인공수로,2009-03-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00157,소공원23,소공원,,전라남도 순천시 매곡동178-9,34.9600092,127.4808261,870,,,,,,2009-03-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00156,소공원22,소공원,,전라남도 순천시 행동 4-9번지 일원,34.9567379,127.4824129,3290,,,,,,2009-03-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00155,소공원21,소공원,,전라남도 순천시 석현동228-2,34.97172787,127.4791387,9120,,,,,,2009-03-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00154,소공원20,소공원,,전라남도 순천시 금곡동13-5,34.9561634436,127.4786803393,2848,,,,,,2011-12-30,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00153,소공원19,소공원,,전라남도 순천시 조곡동263-34,34.9514657,127.4959893,586,,,,,,2005-12-05,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00152,소공원18,소공원,,전라남도 순천시 저전동148-2,34.9521669,127.482496,58,,,,,,2005-12-05,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00181,동천고수부지,수변공원,,전라남도 순천시 매곡동 549-1,34.96287044,127.4886346,16765,,,,,,2017-11-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00180,강청공원,수변공원,,전라남도 순천시 서면 선평리 818,34.9872296,127.4993829,61478,축구장+ 인라인스케이트장+ 밸런스바이크장,그물놀이터+ 그네+ 집라인,화장실+ 음수대,,분수시설,2017-11-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00178,청수거북이공원,역사공원,,전라남도 순천시 주암면 창촌리,35.0585847,127.2813107,81430,,,,,,2017-11-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00177,명말2공원,소공원,,전라남도 순천시 연향동1055-1,34.94077365,127.5128339,1272,,,,,,2017-08-16,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00026,저전공원,어린이공원,,전라남도 순천시 저전동238-1,34.94749381,127.4839458,1786,농구장,조합놀이대,화장실,,,1987-02-19,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00025,행동공원,소공원,전라남도 순천시 금곡길20,전라남도 순천시 행동65-7,34.9550673,127.4825614,2000,,,주차장+화장실,청소년수련관,,1987-02-19,전라남도 순천시청,061-749-3804,2024-11-19,4820000,전라남도 순천시
46150-00020,동내공원,근린공원,전라남도 순천시 낙안면 삼일로 71,,34.90457841,127.3438555,6700,,,주차장,,,1985-04-12,전라남도 순천시청,061-749-8831,2024-11-19,4820000,전라남도 순천시
46150-00019,승평공원,어린이공원,전라남도 순천시 승주읍 승평동길 46,,35.01837664,127.3765351,2600,,,,,,1981-12-30,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00018,내동공원,어린이공원,전라남도 순천시 승주읍 서평내동1길 26,,35.01590957,127.388269,3515,,,,,,1981-12-30,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00017,신흥공원,어린이공원,,전라남도 순천시 남정동 543-4,34.93824327,127.4906111,1461,농구장,미끄럼틀+시소,,,,1980-05-09,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00016,중풍공원,어린이공원,,전라남도 순천시 풍덕동1283,34.9414246,127.4942333,1001,,조합놀이대+시소,,,,1980-05-09,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00015,상풍공원,어린이공원,,전라남도 순천시 풍덕동 1263-9,34.9468775,127.4950608,1477,게이트볼장,,화장실,,,1980-05-09,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00014,풍덕공원,어린이공원,,전라남도 순천시 풍덕동1287,34.9398952,127.4984331,4431,농구장,조합놀이대,화장실,,,1980-05-09,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00012,인제공원,어린이공원,전라남도 순천시 장평안길30,전라남도 순천시 인제동375-5,34.94440264,127.4932266,1480,,조합놀이대,,,경로당,1978-05-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00011,조산공원,어린이공원,,전라남도 순천시 풍덕동1274-1,34.9421407,127.4974988,1447,,조합놀이대,,야외무대,,1978-05-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00010,역전공원,어린이공원,전라남도 순천시 역전광장3길15,전라남도 순천시 풍덕동885,34.944428,127.5014529,2578,농구장,조합놀이대,,,,1978-05-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00009,장천공원,어린이공원,전라남도 순천시 장천안길9,전라남도 순천시 장천동 81,34.94902761,127.4872361,2210,게이트볼장,조합놀이대+그네,,,,1978-05-15,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00007,조례호수공원,근린공원,,전라남도 순천시 조례동1867,34.96604411,127.5220334,173887,,조합놀이대,화장실+주차장+음수대,야외극장+ 도서관,분수시설,1974-04-12,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00058,신월공원,어린이공원,,전라남도 순천시 조례동1688-1,34.957423,127.5188556,2320,,조합놀이대,화장실,,,1992-01-20,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00057,장자보공원,어린이공원,,전라남도 순천시 조례동 1717,34.9547222,127.5194718,1673,,,화장실,,,1992-01-20,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00056,동산공원,어린이공원,,전라남도 순천시 조례동1710-1,34.95317735,127.5159105,1498,,조합놀이대+시소,화장실,,,1992-01-20,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00054,송정공원,어린이공원,,전라남도 순천시 조례동1663,34.96129508,127.5137776,2153,농구장,조합놀이대,화장실,,,1991-09-11,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00053,서당골공원,어린이공원,,전라남도 순천시 조례동1660,34.9625715,127.5162345,5060,,조합놀이대,화장실,,,1991-09-11,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00051,버드네2공원,어린이공원,,전라남도 순천시 해룡면 상삼리665,34.9467436,127.5279474,1241,,조합놀이대,화장실,,,1990-11-10,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00050,상삼2공원,어린이공원,,전라남도 순천시 해룡면 상삼리620,34.9501657,127.5319428,2461,,조합놀이대,화장실,,,1990-11-10,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00049,옹기터공원,어린이공원,,전라남도 순천시 해룡면 상삼리655,34.9478782,127.5311227,2190,,미끄럼틀,,,,1990-11-10,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00048,못안공원,어린이공원,,전라남도 순천시 조례동1614,34.9543731,127.5289577,1550,,조합놀이대+그네,,,,1990-11-10,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00047,가장골공원,어린이공원,,전라남도 순천시 해룡면 상삼리635,34.9484877,127.5272493,1713,농구장,,,,,1990-11-10,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00046,시무골공원,어린이공원,,전라남도 순천시 해룡면 상삼리612,34.95073374,127.527413,2300,,조합놀이대+시소,,,,1990-11-10,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00045,동성공원,근린공원,,전라남도 순천시 연향동1352,34.94891327,127.5172537,10985,족구장+농구장,조합놀이대+그네+시소,화장실,,,1990-09-27,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00044,강남공원,어린이공원,,전라남도 순천시 연향동1402,34.9429821,127.5137896,2064,,조합놀이대,화장실,,,1990-05-26,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00043,부영2공원,어린이공원,,전라남도 순천시 연향동 1385,34.94481426,127.5204571,2763,,조합놀이대+그네+시소,화장실,,,1990-05-26,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00042,부영1공원,어린이공원,,전라남도 순천시 연향동1383,34.94694406,127.520818,3444,,조합놀이대+시소,화장실,기적의 놀이터 5호,,1990-05-26,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00041,성광공원,어린이공원,,전라남도 순천시 연향동1392,34.94380488,127.5157056,3790,농구장,조합놀이대+흔들기구,화장실,,,1990-05-26,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00040,천주공원,어린이공원,,전라남도 순천시 연향동1368,34.94580869,127.5157803,4318,농구장,조합놀이대,화장실,,,1990-05-26,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00039,은성공원,어린이공원,,전라남도 순천시 연향동1356,34.9489524,127.5158688,2183,게이트볼장,그네,화장실,,,1990-05-26,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00038,신기공원,어린이공원,전라남도 순천시 망산1길29,전라남도 순천시 가곡동998,34.9745273,127.4832637,1980,,조합놀이대+그네+시소+회전기구,,,경로당,1989-12-16,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00037,신기안동네공원,어린이공원,,전라남도 순천시 가곡동991,34.97547527,127.4801942,2558,농구장,조합놀이대,,,,1989-12-16,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00035,고지공원,어린이공원,전라남도 순천시 고지2길17,전라남도 순천시 가곡동 962,34.98130343,127.4837886,2005,,,,,경로당,1989-12-16,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00034,향림공원,어린이공원,,전라남도 순천시 석현동894-8,34.9749182,127.4732878,1502,,조합놀이대,,,,1989-08-03,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00031,운동공원,어린이공원,,전라남도 순천시 조례동1385-9,34.95686965,127.5146244,2310,,,,,,1987-02-19,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00030,비봉공원,어린이공원,,전라남도 순천시 조례동1730-5,34.9703702,127.5200549,1520,,,,,,1987-02-19,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00029,가곡공원,어린이공원,,전라남도 순천시 가곡동115-1,34.9857176,127.4841589,1500,,조합놀이대,,,,1987-02-19,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00028,소라공원,어린이공원,,전라남도 순천시 덕월동331-20+ 산21-1+ 331-15,34.9296697,127.4875802,2591,농구장,조합놀이대,음수대,,,1987-02-19,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
46150-00027,용당공원,어린이공원,,전라남도 순천시 용당동569,34.9738812,127.4919304,3044,,조합놀이대,,,,1987-02-19,전라남도 순천시청,061-749-6330,2024-11-19,4820000,전라남도 순천시
